user_id,operation,result,affected_table,affected_row_id,timestamp
1,insert,successfull,car_info,99,2020-05-19 11:43:31 AM
1,insert,successfull,car_info,99,2020-05-19 11:47:55 AM
1,insert,successfull,car_info,102,2020-05-19 11:50:47 AM
admin,update,successfull,car_info,71,2020-05-19 12:58:16 PM
admin,update,failed,car_info,,2020-05-19 01:01:15 PM
admin,update,successfull,car_info,71,2020-05-19 01:02:10 PM
admin,delete,failed,car_info,,2020-05-19 05:20:54 PM
admin,delete,successfull,car_info,71,2020-05-19 05:26:24 PM
admin,update,successfull,car_info,69,2020-05-19 05:27:58 PM
admin,update,successfull,car_info,69,2020-05-19 05:28:26 PM
admin,delete,successfull,car_info,75,2020-05-19 06:47:53 PM
admin,insert,successfull,car_info,81,2020-05-19 06:56:28 PM
admin,delete,successfull,car_info,81,2020-05-19 06:56:59 PM
admin,delete,successfull,car_info,80,2020-05-19 06:57:00 PM
admin,delete,successfull,car_info,79,2020-05-19 06:57:00 PM
admin,delete,successfull,car_info,78,2020-05-19 06:57:01 PM
admin,delete,successfull,car_info,77,2020-05-19 06:57:01 PM
admin,delete,successfull,car_info,76,2020-05-19 06:57:02 PM
admin,insert,successfull,car_info,82,2020-05-19 07:07:47 PM
admin,delete,successfull,car_info,82,2020-05-19 07:07:52 PM
admin,insert,successfull,car_info,83,2020-05-19 07:09:46 PM
admin,delete,successfull,car_info,83,2020-05-19 07:13:46 PM
admin,insert,successfull,car_info,75,2020-05-22 01:32:27 PM
admin,insert,failed,car_info,,2020-05-22 06:55:33 PM
admin,insert,failed,car_info,,2020-05-22 07:00:27 PM
admin,insert,successfull,car_info,76,2020-05-22 07:19:20 PM
admin,insert,successfull,car_info,77,2020-05-22 08:16:37 PM
admin,delete,successfull,car_info,88,2020-05-23 01:21:25 AM
admin,delete,successfull,car_info,87,2020-05-23 01:21:26 AM
admin,delete,successfull,car_info,89,2020-05-23 01:23:22 AM
admin,insert,successfull,car_info,155,2020-05-23 04:39:21 PM
admin,update,successfull,car_info,155,2020-05-23 04:40:32 PM
admin,delete,successfull,car_info,155,2020-05-23 04:41:11 PM
admin,insert,successfull,car_info,156,2020-05-23 06:08:41 PM
admin,insert,successfull,car_info,157,2020-05-23 06:09:26 PM
admin,insert,successfull,car_info,158,2020-05-23 06:10:09 PM
admin,insert,successfull,car_info,159,2020-05-23 06:27:48 PM
admin,update,successfull,car_info,159,2020-05-23 06:28:47 PM
admin,delete,successfull,car_info,159,2020-05-23 06:29:22 PM
admin,insert,successfull,car_info,160,2020-05-23 06:59:07 PM
admin,update,successfull,car_info,160,2020-05-23 06:59:52 PM
admin,delete,successfull,car_info,160,2020-05-23 07:00:08 PM
admin,insert,successfull,car_info,161,2020-05-23 07:20:09 PM
admin,update,successfull,car_info,161,2020-05-23 07:21:23 PM
admin,delete,successfull,car_info,161,2020-05-23 07:21:42 PM
admin,insert,successfull,car_info,162,2020-05-23 07:38:14 PM
admin,update,successfull,car_info,162,2020-05-23 07:39:08 PM
admin,delete,successfull,car_info,162,2020-05-23 07:39:23 PM
admin,insert,successfull,car_info,163,2020-05-23 07:43:28 PM
admin,delete,successfull,car_info,163,2020-05-23 07:43:47 PM
admin,insert,successfull,car_info,159,2020-05-23 10:59:52 PM
admin,update,successfull,car_info,159,2020-05-23 11:01:12 PM
admin,delete,successfull,car_info,159,2020-05-23 11:01:44 PM
admin,insert,successfull,car_info,160,2020-05-23 11:15:31 PM
admin,update,successfull,car_info,160,2020-05-23 11:16:51 PM
admin,delete,successfull,car_info,160,2020-05-23 11:17:10 PM
admin,insert,successfull,car_info,161,2020-05-23 11:38:27 PM
admin,update,successfull,car_info,161,2020-05-23 11:39:18 PM
admin,delete,successfull,car_info,161,2020-05-23 11:39:45 PM
admin,insert,successfull,car_info,162,2020-05-23 11:58:17 PM
admin,update,successfull,car_info,162,2020-05-23 11:59:17 PM
admin,delete,successfull,car_info,162,2020-05-23 11:59:35 PM
admin,insert,successfull,car_info,163,2020-05-24 12:24:49 AM
admin,update,successfull,car_info,163,2020-05-24 12:26:00 AM
admin,delete,successfull,car_info,163,2020-05-24 12:26:30 AM
admin,insert,successfull,car_info,159,2020-05-24 01:27:52 PM
admin,update,successfull,car_info,159,2020-05-24 01:29:01 PM
admin,delete,successfull,car_info,159,2020-05-24 01:29:33 PM
admin,insert,successfull,car_info,160,2020-05-24 01:58:50 PM
admin,update,successfull,car_info,160,2020-05-24 01:59:56 PM
admin,delete,successfull,car_info,160,2020-05-24 02:00:15 PM
admin,insert,successfull,car_info,161,2020-05-24 05:20:44 PM
admin,delete,successfull,car_info,161,2020-05-24 05:21:05 PM
admin,update,successfull,car_info,157,2020-05-29 12:45:56 PM
admin,insert,successfull,car_info,159,2020-05-29 12:52:57 PM
admin,delete,successfull,car_info,159,2020-05-29 12:54:31 PM
admin,update,successfull,car_info,157,2020-06-09 07:49:48 PM
admin,delete,successfull,car_info,158,2020-06-09 07:49:59 PM
admin,update,successfull,car_info,158,2021-06-09 01:27:30 PM
